ID,Age,Gender,Education,Country,Ethnicity,Nscore,Escore,Oscore,Ascore,Cscore,Impulsive,SS,Alcohol,Amphet,Amyl,Benzos,Caff,Canabis,Choc,Coke,Crack,Ecstasy,Heroin,Ketamin,Legalh,LSD,Meth,Mushrooms,Nicotine,Semer,VSA
1058,35-40,F,Left school at 18 years,USA,White,0.31287,-1.23177,-1.11902,-1.772,-1.38502,0.19268,0.40148,Last Month,Last Week,Never,Last Year,Last Week,Last Month,Last Week,Last Decade,Never,Never,Never,Never,Last Day,Decade Ago,Last Decade,Decade Ago,Last Year,Never,Decade Ago
1059,18-24,M,University degree,USA,White,0.73545,-1.09207,-1.27553,-0.45321,-0.40581,0.52975,0.40148,Last Week,Last Month,Never,Last Month,Last Day,Last Day,Last Year,Never,Never,Never,Never,Never,Last Month,Never,Never,Last Year,Never,Never,Never
1060,18-24,M,"Some college or university, no certificate or degree",USA,White,-0.58016,-0.15487,0.7233,0.94156,-0.27607,-0.71126,0.40148,Last Week,Never,Never,Never,Last Day,Last Week,Last Week,Never,Never,Last Year,Never,Never,Last Week,Last Week,Last Year,Never,Last Year,Never,Never
1061,45-54,F,Masters degree,Other,White,-0.58016,0.00332,1.65653,0.59042,0.93949,-1.37983,-0.52593,Last Week,Decade Ago,Decade Ago,Never,Last Decade,Decade Ago,Last Day,Decade Ago,Never,Never,Decade Ago,Never,Never,Decade Ago,Never,Decade Ago,Decade Ago,Never,Never
1062,18-24,F,Left school at 18 years,USA,Other,-0.24649,0.63779,-1.42424,0.13136,0.7583,1.29221,0.07987,Last Decade,Never,Never,Never,Last Month,Never,Last Day,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
1063,18-24,F,University degree,USA,Mixed Black/Asian,1.23461,1.93886,1.65653,-0.15487,-0.52745,1.29221,1.2247,Last Week,Never,Never,Last Year,Last Week,Last Month,Last Day,Never,Never,Never,Never,Never,Never,Last Month,Never,Last Month,Never,Never,Never
1064,25-34,M,"Some college or university, no certificate or degree",USA,White,-1.69163,-0.15487,0.88309,-1.47955,0.41594,-0.21712,0.07987,Last Week,Last Decade,Never,Last Decade,Last Month,Last Day,Last Week,Last Decade,Last Decade,Last Month,Never,Never,Never,Last Year,Never,Last Year,Last Week,Never,Last Decade
1065,25-34,M,Masters degree,Other,Other,-0.67825,0.63779,1.65653,0.59042,0.58489,-0.21712,1.2247,Last Week,Last Month,Last Year,Last Year,Last Day,Last Day,Last Day,Last Decade,Never,Last Decade,Never,Never,Last Year,Last Year,Never,Last Month,Last Day,Never,Decade Ago
1066,18-24,M,"Some college or university, no certificate or degree",USA,White,-3.15735,0.47617,1.24033,1.11406,-1.13788,0.88113,0.7654,Last Month,Never,Never,Never,Last Month,Last Day,Last Week,Never,Never,Never,Never,Never,Last Year,Last Month,Never,Never,Last Week,Never,Never
1067,35-40,F,Left school at 17 years,Canada,White,1.23461,-0.69509,0.58331,0.28783,1.63088,-1.37983,-1.54858,Last Week,Never,Never,Never,Last Day,Last Decade,Last Month,Never,Never,Never,Never,Never,Never,Never,Never,Never,Last Day,Never,Never
1068,35-40,M,University degree,Canada,White,-0.58016,-0.69509,-2.39883,-0.30172,-0.27607,-2.55524,-1.18084,Last Year,Never,Never,Never,Last Day,Never,Last Month,Never,Never,Never,Never,Never,Never,Never,Never,Decade Ago,Never,Never,Never
1069,18-24,M,Left school at 18 years,UK,White,-1.69163,0.96248,-0.01928,-0.01729,-0.89891,0.88113,0.07987,Last Day,Never,Never,Never,Last Week,Last Day,Last Month,Never,Never,Last Day,Never,Never,Never,Never,Never,Never,Last Day,Never,Never
1070,25-34,F,Doctorate degree,UK,White,-0.92104,0.00332,1.06238,2.03972,2.04506,-1.37983,-0.21575,Last Day,Never,Never,Never,Last Week,Last Decade,Last Week,Never,Never,Never,Never,Never,Never,Never,Never,Never,Last Decade,Never,Never
1071,25-34,F,Masters degree,Other,Mixed White/Black,-0.05188,-1.37639,-0.45174,-0.15487,1.30612,-0.21712,-1.18084,Last Day,Never,Never,Never,Last Day,Last Decade,Last Week,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
1072,18-24,M,Masters degree,UK,White,0.41667,0.00332,0.29338,-0.60633,0.12331,0.88113,0.07987,Last Week,Never,Never,Never,Last Day,Last Decade,Last Day,Never,Never,Never,Never,Never,Last Decade,Never,Never,Never,Never,Never,Never
1073,18-24,M,"Some college or university, no certificate or degree",Republic of Ireland,White,-0.46725,-0.43999,1.06238,0.13136,-1.38502,-0.21712,0.7654,Last Week,Never,Last Decade,Never,Last Day,Last Year,Last Week,Last Decade,Never,Last Decade,Never,Never,Last Decade,Never,Never,Never,Last Day,Never,Last Decade
1074,18-24,F,Masters degree,UK,White,1.60383,-1.50796,-0.17779,0.28783,-0.40581,-0.71126,-1.54858,Last Decade,Never,Never,Never,Last Day,Never,Last Day,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
1075,35-40,F,Doctorate degree,UK,White,-0.67825,0.32197,-0.01928,-0.30172,1.46191,-1.37983,-1.54858,Last Week,Never,Never,Never,Last Year,Never,Last Day,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
1076,35-40,M,Left school at 18 years,UK,White,0.31287,-0.69509,-0.45174,-0.45321,-0.14277,0.19268,0.7654,Last Day,Never,Decade Ago,Never,Last Week,Last Decade,Last Day,Never,Never,Never,Never,Never,Never,Never,Never,Never,Last Year,Never,Never
1077,18-24,M,Left school at 17 years,UK,White,-0.92104,-0.57545,0.7233,1.2861,-0.27607,-0.71126,-0.21575,Last Year,Never,Never,Never,Last Week,Last Day,Last Month,Never,Never,Never,Never,Never,Last Month,Never,Never,Last Month,Never,Never,Never
1078,35-40,F,Professional certificate/diploma,Canada,White,0.41667,0.00332,-0.97631,0.13136,-0.14277,-1.37983,-1.18084,Last Month,Never,Never,Never,Last Day,Decade Ago,Last Day,Never,Never,Never,Never,Never,Never,Never,Never,Never,Last Year,Never,Never
1079,25-34,F,University degree,USA,White,1.8399,-1.92173,1.88511,-0.91699,0.25953,0.19268,1.92173,Last Year,Decade Ago,Decade Ago,Last Decade,Last Day,Last Year,Last Day,Never,Never,Decade Ago,Never,Never,Never,Decade Ago,Never,Decade Ago,Last Year,Never,Never
1080,45-54,M,Professional certificate/diploma,UK,White,-1.55078,0.96248,-0.31776,-0.45321,0.25953,-0.21712,-1.54858,Last Month,Never,Never,Never,Last Day,Never,Last Day,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
1081,35-40,F,Professional certificate/diploma,UK,White,0.52135,-1.37639,-1.42424,0.13136,-1.13788,-1.37983,-1.18084,Last Month,Never,Never,Never,Last Week,Decade Ago,Last Week,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
1082,25-34,F,Masters degree,UK,Other,0.31287,1.74091,-0.17779,0.28783,0.58489,0.52975,0.7654,Last Day,Never,Never,Never,Last Day,Never,Last Day,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
1083,18-24,F,Masters degree,UK,White,-1.1943,1.58487,0.29338,1.11406,1.30612,-0.21712,-0.21575,Last Week,Never,Never,Never,Last Day,Never,Last Day,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
1084,18-24,M,Masters degree,UK,White,-0.24649,0.47617,-0.31776,0.28783,-0.52745,-0.21712,-0.21575,Last Week,Never,Never,Never,Last Day,Last Decade,Last Day,Never,Never,Never,Never,Never,Last Decade,Never,Never,Last Decade,Last Year,Never,Never
1085,18-24,F,Masters degree,UK,White,0.62967,1.11406,-0.84732,-0.45321,-1.25773,-0.71126,-0.84637,Last Day,Never,Never,Never,Last Day,Never,Last Day,Last Month,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
1086,18-24,F,University degree,UK,White,-0.05188,-0.15487,0.44585,0.28783,0.41594,-1.37983,-0.21575,Last Week,Last Decade,Last Decade,Never,Last Day,Last Decade,Last Month,Never,Never,Last Year,Never,Last Decade,Last Year,Never,Never,Last Decade,Last Decade,Never,Decade Ago
1087,18-24,F,Masters degree,UK,White,-0.24649,0.47617,0.88309,-0.15487,1.81175,0.52975,0.40148,Last Day,Never,Never,Never,Last Week,Never,Last Week,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
1088,35-40,M,Professional certificate/diploma,Canada,White,-0.14882,-0.15487,0.58331,0.43852,0.58489,-0.71126,0.40148,Last Day,Last Decade,Never,Last Decade,Last Day,Last Year,Last Week,Last Decade,Never,Last Decade,Never,Last Decade,Never,Last Decade,Never,Last Decade,Decade Ago,Never,Never
1089,18-24,F,Masters degree,Other,White,-0.05188,0.96248,2.15324,-0.30172,0.25953,-1.37983,-0.52593,Last Year,Never,Never,Never,Last Day,Never,Last Week,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
1090,18-24,F,Masters degree,UK,White,0.52135,0.47617,-0.01928,-0.30172,0.25953,0.19268,-0.52593,Last Day,Never,Last Decade,Never,Last Day,Last Decade,Last Day,Never,Never,Never,Never,Never,Never,Never,Never,Never,Last Year,Never,Never
1091,25-34,F,Masters degree,USA,White,-0.46725,-0.15487,0.29338,0.59042,0.93949,0.19268,-0.84637,Last Day,Last Day,Never,Last Year,Last Day,Never,Last Day,Never,Never,Never,Never,Never,Never,Never,Last Month,Never,Never,Never,Never
1092,25-34,F,University degree,UK,White,-1.05308,1.45421,0.14143,1.11406,-0.27607,-1.37983,0.7654,Last Day,Last Decade,Last Week,Never,Last Day,Last Week,Last Week,Last Decade,Never,Never,Never,Never,Never,Never,Never,Last Decade,Last Day,Never,Decade Ago
1093,18-24,F,Masters degree,UK,White,0.62967,1.45421,-0.17779,2.46262,-0.52745,1.29221,0.40148,Last Week,Never,Never,Never,Last Day,Never,Last Week,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
1094,45-54,F,Left school at 16 years,UK,White,-0.46725,0.63779,-1.11902,1.11406,0.12331,0.19268,-0.52593,Last Month,Last Year,Never,Last Week,Last Day,Last Year,Last Week,Last Year,Never,Last Year,Never,Never,Last Year,Last Year,Last Year,Last Year,Last Year,Never,Never
1095,18-24,M,University degree,Australia,White,-1.69163,-0.80615,-0.58331,-1.21213,-1.25773,0.19268,0.7654,Last Year,Last Month,Last Day,Never,Last Day,Last Year,Last Month,Last Month,Never,Last Month,Never,Never,Last Month,Last Month,Never,Last Year,Never,Never,Last Month
1096,25-34,F,University degree,Australia,White,-1.43907,1.74091,-0.84732,-0.60633,0.58489,0.88113,0.40148,Last Day,Last Decade,Never,Last Decade,Last Day,Last Month,Last Week,Last Year,Never,Last Year,Never,Never,Never,Never,Never,Never,Last Week,Never,Never
1097,35-40,M,Masters degree,UK,Asian,-0.46725,0.96248,0.14143,-0.01729,0.93949,0.88113,-0.21575,Last Week,Never,Never,Last Decade,Last Month,Never,Last Week,Never,Never,Never,Never,Never,Never,Never,Never,Never,Last Day,Never,Never
1098,25-34,M,Masters degree,UK,White,1.13281,-1.09207,-0.84732,-0.01729,0.12331,-0.21712,-2.07848,Last Week,Never,Never,Never,Last Day,Last Decade,Last Week,Never,Never,Never,Never,Never,Never,Never,Never,Never,Last Decade,Never,Never
1099,18-24,M,Left school at 18 years,UK,White,-0.58016,-0.69509,1.65653,1.81866,-1.13788,-0.21712,-0.52593,Last Week,Last Decade,Last Year,Last Year,Last Week,Last Week,Last Month,Never,Never,Last Year,Never,Last Month,Last Year,Never,Never,Never,Last Day,Never,Never
1100,25-34,M,"Some college or university, no certificate or degree",USA,White,-0.92104,0.00332,0.7233,0.13136,-0.65253,0.88113,0.07987,Last Year,Last Decade,Never,Last Month,Last Day,Last Day,Last Day,Last Decade,Last Decade,Last Year,Last Decade,Last Decade,Last Year,Last Decade,Last Day,Last Year,Last Day,Never,Last Week
1101,18-24,F,"Some college or university, no certificate or degree",USA,White,0.04257,-0.43999,-0.01928,-0.91699,-0.65253,-1.37983,-0.21575,Last Month,Never,Never,Never,Last Day,Last Week,Last Month,Never,Never,Never,Never,Never,Last Year,Never,Never,Last Year,Never,Never,Never
1102,18-24,F,Masters degree,UK,White,-1.32828,1.2861,0.29338,0.43852,0.58489,-0.21712,0.40148,Last Week,Last Decade,Last Decade,Never,Last Week,Last Week,Last Day,Last Decade,Never,Never,Never,Never,Never,Never,Never,Last Decade,Last Week,Never,Never
1103,18-24,M,"Some college or university, no certificate or degree",Other,White,-0.58016,0.47617,-0.17779,0.28783,-1.78169,0.19268,0.7654,Last Day,Last Month,Never,Never,Last Day,Last Week,Last Week,Never,Never,Never,Never,Never,Never,Never,Never,Never,Last Day,Never,Never
1104,18-24,F,University degree,USA,White,0.31287,-0.15487,-0.58331,-0.30172,1.30612,-0.71126,-0.52593,Last Week,Never,Never,Last Decade,Last Day,Last Day,Last Week,Last Year,Never,Last Month,Never,Last Decade,Last Decade,Last Month,Never,Last Decade,Last Year,Never,Never
1105,18-24,F,Masters degree,Other,White,-0.79151,-0.15487,-0.17779,-0.45321,-0.40581,-0.21712,1.2247,Last Day,Never,Last Year,Never,Last Week,Last Day,Last Week,Last Year,Never,Last Month,Never,Never,Never,Last Year,Never,Never,Last Day,Never,Never
1106,18-24,F,Left school at 18 years,USA,White,-1.05308,0.32197,1.88511,-0.91699,-1.78169,0.19268,0.7654,Last Week,Never,Never,Never,Last Week,Last Month,Last Week,Never,Never,Last Month,Never,Never,Never,Never,Never,Never,Never,Never,Never
1107,25-34,M,"Some college or university, no certificate or degree",Other,White,-1.1943,-1.09207,0.7233,-1.21213,-2.04506,-1.37983,0.07987,Last Day,Last Year,Last Decade,Last Year,Last Day,Last Week,Last Week,Last Year,Never,Last Month,Never,Last Year,Last Year,Last Month,Never,Last Month,Last Day,Never,Never
1108,25-34,F,Doctorate degree,UK,White,-0.14882,-0.30033,-0.45174,2.23427,1.63088,-1.37983,0.07987,Last Month,Never,Never,Never,Last Day,Last Decade,Last Week,Never,Never,Never,Never,Never,Never,Never,Never,Never,Decade Ago,Never,Never
1109,25-34,F,"Some college or university, no certificate or degree",Other,White,1.98437,-0.30033,0.44585,-1.21213,-1.0145,0.19268,0.7654,Last Week,Last Year,Last Decade,Last Decade,Last Year,Last Day,Last Week,Last Year,Never,Last Month,Last Decade,Last Decade,Never,Last Year,Last Year,Last Decade,Last Day,Never,Decade Ago
1110,18-24,M,University degree,UK,White,1.13281,1.11406,1.06238,-0.15487,-0.52745,1.86203,1.92173,Last Week,Last Month,Last Decade,Last Year,Last Week,Last Month,Last Day,Last Decade,Never,Last Month,Never,Last Month,Last Year,Last Decade,Never,Last Decade,Last Month,Never,Never
1111,18-24,M,"Some college or university, no certificate or degree",UK,White,-0.92104,1.74091,1.43533,1.2861,-0.27607,0.19268,0.40148,Last Day,Last Week,Last Year,Last Week,Last Day,Last Week,Last Week,Last Week,Never,Last Week,Never,Last Week,Last Year,Last Year,Never,Never,Last Day,Never,Never
1112,45-54,M,"Some college or university, no certificate or degree",USA,White,2.46262,-1.50796,-1.82919,0.13136,-1.64101,0.88113,-0.52593,Last Week,Last Year,Decade Ago,Last Day,Last Day,Decade Ago,Last Week,Last Year,Never,Decade Ago,Decade Ago,Last Decade,Never,Decade Ago,Last Year,Last Decade,Decade Ago,Never,Decade Ago
1113,18-24,F,"Some college or university, no certificate or degree",USA,White,0.22393,-0.15487,-0.31776,2.23427,1.46191,-1.37983,-1.18084,Last Week,Never,Never,Last Day,Last Day,Last Year,Last Month,Never,Never,Last Month,Never,Never,Last Year,Last Month,Never,Last Week,Never,Never,Never
1114,45-54,M,Doctorate degree,USA,White,0.41667,-0.43999,0.58331,0.28783,-1.25773,1.29221,0.07987,Last Day,Last Day,Never,Last Decade,Last Day,Last Year,Last Day,Last Decade,Never,Decade Ago,Never,Never,Never,Last Year,Last Year,Last Decade,Last Decade,Never,Never
1115,18-24,M,Left school at 18 years,USA,White,-0.92104,-1.23177,-0.71727,-1.07533,0.58489,-0.71126,-0.52593,Last Week,Never,Last Month,Last Year,Last Day,Last Day,Last Day,Last Month,Never,Last Month,Never,Last Year,Last Year,Last Year,Last Year,Last Month,Last Day,Never,Last Decade
1116,18-24,M,"Some college or university, no certificate or degree",USA,White,-3.46436,0.47617,-0.01928,1.2861,2.04506,-0.21712,0.7654,Last Week,Never,Never,Never,Last Day,Last Day,Last Day,Never,Never,Never,Never,Never,Last Month,Last Year,Last Year,Last Year,Last Week,Never,Never
1117,45-54,M,Left school at 16 years,UK,White,0.52135,-0.57545,0.44585,-2.5383,-0.27607,0.88113,-0.21575,Last Year,Decade Ago,Decade Ago,Decade Ago,Last Day,Last Day,Last Day,Decade Ago,Never,Never,Last Year,Never,Never,Decade Ago,Never,Last Year,Decade Ago,Never,Never
1118,18-24,M,"Some college or university, no certificate or degree",USA,Other,0.91093,0.00332,1.24033,-0.15487,-1.38502,1.29221,0.40148,Last Week,Never,Never,Last Year,Last Day,Last Day,Last Day,Never,Never,Last Year,Never,Never,Last Day,Last Month,Never,Last Month,Last Day,Never,Never
1119,18-24,M,"Some college or university, no certificate or degree",USA,White,1.60383,-1.23177,-0.17779,-0.91699,-0.65253,-0.71126,-0.21575,Last Day,Last Month,Never,Last Day,Last Day,Last Day,Last Day,Never,Never,Last Month,Never,Never,Last Month,Last Year,Last Year,Last Year,Last Day,Never,Never
1120,25-34,F,University degree,USA,White,-1.69163,2.57309,2.90161,1.11406,-0.27607,0.52975,1.92173,Last Day,Last Day,Never,Last Year,Last Day,Last Day,Last Day,Last Year,Never,Last Year,Never,Never,Never,Last Month,Last Week,Last Week,Last Day,Never,Last Month
1121,18-24,M,"Some college or university, no certificate or degree",USA,White,1.02119,-0.43999,-0.01928,-1.772,-1.0145,0.88113,0.7654,Last Month,Last Week,Never,Last Year,Last Month,Last Day,Last Week,Never,Never,Last Year,Never,Never,Last Year,Last Year,Never,Last Year,Last Year,Never,Never
1122,25-34,M,University degree,UK,White,-1.05308,1.2861,0.44585,0.43852,0.7583,0.19268,-0.21575,Last Week,Last Decade,Last Decade,Never,Last Day,Last Decade,Last Day,Last Decade,Never,Last Decade,Never,Last Decade,Last Decade,Never,Never,Never,Last Decade,Never,Never
1123,25-34,M,"Some college or university, no certificate or degree",USA,White,-0.34799,-2.44904,-1.27553,-0.76096,-0.27607,0.19268,0.7654,Last Decade,Last Week,Never,Last Year,Last Day,Last Decade,Last Month,Last Decade,Never,Never,Last Year,Last Decade,Last Decade,Last Decade,Last Day,Last Decade,Decade Ago,Never,Never
1124,18-24,M,Left school at 16 years,Canada,White,-0.05188,-1.92173,1.65653,-0.01729,-0.40581,-0.71126,-0.52593,Last Year,Last Decade,Never,Last Decade,Last Day,Last Year,Last Month,Last Year,Last Decade,Last Decade,Never,Last Decade,Last Decade,Last Decade,Last Month,Last Decade,Last Day,Never,Never
1125,25-34,M,Professional certificate/diploma,UK,White,0.73545,-0.94779,-1.11902,-0.01729,-1.25773,0.52975,-0.52593,Last Day,Last Day,Last Decade,Last Year,Last Day,Last Year,Last Day,Last Year,Never,Last Year,Never,Last Month,Last Day,Never,Never,Last Decade,Last Day,Never,Never
1126,25-34,M,Left school at 18 years,UK,White,-1.05308,0.00332,-2.39883,0.43852,-0.00665,1.29221,0.07987,Last Day,Last Decade,Last Decade,Last Week,Last Month,Last Day,Last Day,Last Year,Last Year,Last Year,Never,Last Month,Last Day,Last Decade,Never,Last Decade,Last Day,Never,Last Year
1127,25-34,M,Professional certificate/diploma,USA,White,1.37297,-1.37639,-0.45174,-0.15487,-2.30408,-0.21712,-0.21575,Last Month,Last Month,Last Decade,Last Week,Last Day,Last Week,Last Week,Last Year,Never,Last Month,Last Year,Never,Last Month,Never,Last Decade,Last Year,Last Day,Never,Last Year
1128,55-64,M,Left school at 17 years,USA,White,0.52135,-0.43999,-0.58331,-1.6209,0.58489,-0.21712,0.07987,Last Year,Decade Ago,Never,Last Month,Last Day,Last Year,Last Year,Last Decade,Last Decade,Never,Never,Never,Never,Decade Ago,Never,Decade Ago,Decade Ago,Never,Never
1129,18-24,M,"Some college or university, no certificate or degree",USA,White,1.37297,-0.94779,0.7233,0.28783,-0.78155,0.52975,1.2247,Last Month,Last Year,Never,Last Week,Last Day,Last Day,Last Week,Last Decade,Last Decade,Last Year,Last Decade,Never,Last Day,Last Week,Last Year,Last Year,Last Week,Never,Never
1130,18-24,M,"Some college or university, no certificate or degree",USA,White,1.02119,-2.03972,-0.71727,1.11406,-1.25773,0.88113,0.40148,Last Week,Last Week,Never,Last Year,Last Day,Last Day,Last Week,Last Year,Last Decade,Last Year,Never,Never,Last Decade,Last Year,Last Day,Last Decade,Last Day,Never,Last Decade
1131,18-24,M,"Some college or university, no certificate or degree",Other,White,-1.55078,-1.23177,0.88309,1.61108,-1.78169,-0.21712,0.40148,Last Week,Never,Never,Never,Last Year,Last Week,Last Day,Never,Never,Never,Never,Last Year,Last Year,Last Year,Last Year,Last Month,Last Week,Never,Never
1132,18-24,M,"Some college or university, no certificate or degree",Other,White,0.41667,0.16767,-0.17779,-0.01729,-1.92173,1.29221,0.7654,Last Day,Last Year,Last Year,Last Day,Last Month,Last Week,Last Week,Last Decade,Last Decade,Last Year,Last Week,Last Week,Last Day,Last Decade,Never,Last Decade,Last Day,Never,Last Decade
1133,25-34,F,Professional certificate/diploma,USA,White,2.28554,0.80523,0.7233,-2.07848,-1.78169,1.86203,1.92173,Last Month,Never,Never,Last Day,Last Day,Last Year,Never,Last Month,Never,Last Decade,Last Week,Never,Never,Last Decade,Last Month,Last Decade,Last Day,Never,Never
1134,25-34,M,Masters degree,New Zealand,White,0.62967,-0.69509,0.14143,-1.21213,-0.27607,-0.21712,-0.21575,Last Day,Last Decade,Last Year,Last Day,Last Day,Last Day,Last Day,Last Year,Never,Last Decade,Last Decade,Last Decade,Last Day,Last Decade,Last Year,Last Year,Last Year,Never,Last Day
1135,35-40,M,Professional certificate/diploma,Australia,White,-1.32828,0.16767,1.65653,1.11406,0.25953,1.29221,0.7654,Last Year,Last Year,Never,Last Decade,Last Year,Last Week,Last Week,Never,Never,Last Year,Never,Never,Last Year,Last Year,Never,Last Year,Last Day,Never,Never
1136,18-24,M,Masters degree,USA,White,0.41667,1.2861,-1.11902,-0.91699,-0.52745,1.86203,0.40148,Last Week,Last Week,Never,Last Month,Last Day,Last Year,Last Day,Last Year,Never,Never,Never,Never,Last Year,Never,Last Day,Never,Last Day,Never,Last Decade
1137,18-24,M,Left school at 18 years,USA,White,1.37297,0.63779,-0.31776,-1.34289,-1.64101,1.29221,1.2247,Last Year,Last Year,Never,Last Month,Last Day,Last Day,Last Week,Last Year,Last Year,Last Year,Last Year,Last Year,Last Year,Last Year,Last Month,Last Year,Last Day,Never,Last Month
1138,25-34,F,Doctorate degree,UK,White,-0.05188,0.32197,-0.84732,-0.01729,0.41594,-1.37983,-0.84637,Last Week,Never,Never,Never,Last Day,Never,Last Day,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
1139,25-34,F,University degree,Other,White,0.31287,-1.92173,-0.01928,0.59042,-1.25773,-0.21712,-0.84637,Last Week,Never,Never,Never,Last Day,Never,Last Week,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
1140,25-34,M,"Some college or university, no certificate or degree",USA,White,0.52135,-1.23177,0.44585,-3.15735,-0.52745,1.86203,1.2247,Last Day,Last Year,Never,Last Year,Last Day,Last Day,Last Day,Last Year,Never,Last Month,Last Decade,Last Decade,Last Year,Last Decade,Last Decade,Last Year,Last Day,Never,Never
1141,18-24,F,"Some college or university, no certificate or degree",USA,White,-0.92104,0.47617,0.14143,1.45039,-0.27607,-0.21712,1.2247,Last Day,Last Decade,Never,Last Week,Last Week,Last Week,Last Week,Last Week,Last Year,Last Month,Last Year,Never,Last Year,Never,Last Week,Last Year,Last Week,Never,Last Year
1142,25-34,F,University degree,Australia,White,1.60383,-1.6334,0.7233,-1.07533,-1.5184,0.52975,1.2247,Last Month,Last Decade,Never,Last Year,Last Day,Last Day,Last Month,Never,Never,Last Decade,Never,Never,Never,Never,Never,Never,Last Day,Never,Last Decade
1143,35-40,M,Professional certificate/diploma,USA,White,0.41667,-1.23177,0.14143,-0.15487,0.58489,0.52975,0.07987,Last Month,Decade Ago,Never,Last Day,Last Day,Last Month,Never,Last Year,Last Year,Never,Last Decade,Decade Ago,Last Year,Decade Ago,Last Day,Last Month,Last Day,Never,Decade Ago
1144,18-24,F,"Some college or university, no certificate or degree",USA,White,1.98437,-1.92173,1.24033,1.45039,-1.13788,-0.21712,1.2247,Last Day,Last Year,Never,Last Month,Last Day,Last Month,Last Month,Never,Never,Never,Never,Never,Last Month,Never,Never,Never,Last Day,Never,Never
1145,45-54,M,University degree,UK,White,0.22393,-1.09207,-0.71727,-0.30172,-0.65253,0.19268,-0.84637,Decade Ago,Decade Ago,Decade Ago,Last Year,Last Day,Decade Ago,Last Day,Decade Ago,Never,Decade Ago,Never,Never,Never,Decade Ago,Never,Decade Ago,Last Day,Never,Never
1146,18-24,M,"Some college or university, no certificate or degree",Republic of Ireland,White,1.60383,-0.80615,-0.71727,-1.21213,-2.18109,-0.21712,0.07987,Last Week,Last Month,Last Decade,Never,Last Day,Last Month,Last Year,Last Year,Never,Last Month,Never,Never,Last Year,Never,Never,Never,Last Day,Never,Never
1147,25-34,M,Masters degree,USA,White,0.22393,-0.69509,0.29338,-0.01729,-1.0145,-0.71126,-1.18084,Last Week,Last Day,Never,Last Month,Last Day,Last Day,Last Week,Never,Never,Never,Never,Last Month,Last Week,Last Month,Last Month,Last Month,Last Year,Never,Last Decade
1148,25-34,M,University degree,USA,White,-2.75696,-0.43999,-1.11902,-1.47955,0.93949,-0.21712,0.07987,Last Week,Last Day,Last Week,Last Year,Last Day,Last Decade,Last Month,Last Decade,Never,Last Month,Never,Never,Never,Last Year,Never,Last Decade,Never,Never,Never
1149,35-40,M,Professional certificate/diploma,USA,White,1.8399,-0.94779,0.14143,-1.47955,-1.25773,0.88113,-0.52593,Last Year,Last Year,Decade Ago,Last Month,Last Day,Last Year,Last Year,Decade Ago,Decade Ago,Last Decade,Never,Last Decade,Last Week,Last Year,Last Year,Last Decade,Last Day,Never,Decade Ago
1150,18-24,M,"Some college or university, no certificate or degree",USA,White,0.13606,0.16767,0.14143,-0.60633,-0.65253,0.52975,1.92173,Last Week,Last Month,Last Decade,Last Month,Last Day,Last Day,Last Week,Last Day,Last Year,Last Week,Last Decade,Last Year,Last Decade,Last Year,Last Year,Last Year,Last Week,Never,Last Decade
1151,45-54,F,Left school at 18 years,Australia,White,-0.58016,0.63779,-0.31776,0.43852,0.93949,-0.71126,-0.52593,Decade Ago,Last Day,Last Decade,Last Day,Last Week,Last Day,Last Week,Last Decade,Never,Last Decade,Last Decade,Last Decade,Never,Last Decade,Never,Last Decade,Last Day,Never,Never
1152,25-34,M,"Some college or university, no certificate or degree",USA,White,1.23461,-0.43999,0.58331,1.11406,0.41594,0.19268,0.40148,Last Month,Last Day,Last Year,Last Day,Last Day,Last Month,Last Month,Last Decade,Last Decade,Last Decade,Last Decade,Last Decade,Last Month,Last Decade,Never,Last Decade,Last Week,Never,Last Decade
1153,35-40,F,University degree,USA,White,1.72012,-1.7625,-0.58331,-0.30172,-1.25773,0.88113,-0.84637,Decade Ago,Last Year,Never,Last Decade,Last Day,Last Day,Last Day,Decade Ago,Last Decade,Never,Decade Ago,Never,Decade Ago,Never,Never,Never,Last Day,Never,Decade Ago
1154,55-64,F,Masters degree,USA,Other,0.31287,-0.69509,-0.71727,-1.21213,-0.27607,0.52975,1.92173,Last Year,Never,Never,Never,Last Day,Never,Last Day,Never,Never,Never,Never,Never,Never,Never,Never,Never,Last Day,Never,Never
